Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
38,14,Pretty Happy,2,2006
48,14,Very Happy,2,2006
37,12,Pretty Happy,2,2006
33,12,Very Happy,2,2006
NA,8,NA,2,2006
39,14,NA,2,2006
47,12,Pretty Happy,2,2006
41,12,NA,2,2006
28,9,NA,2,2006
43,12,Pretty Happy,2,2006
55,16,Very Happy,2,2006
47,14,NA,2,2006
46,12,NA,2,2006
48,13,Pretty Happy,2,2006
38,13,NA,2,2006
49,14,Not Too Happy,2,2006
28,12,Pretty Happy,2,2006
21,14,Pretty Happy,2,2006
50,13,Pretty Happy,2,2006
40,12,NA,2,2006
49,16,NA,2,2006
61,18,NA,2,2006
35,16,NA,2,2006
31,12,Pretty Happy,2,2006
56,12,NA,2,2006
49,14,NA,2,2006
31,12,Not Too Happy,2,2006
54,16,NA,2,2006
28,16,Pretty Happy,2,2006
58,16,Very Happy,2,2006
36,12,NA,2,2006
47,13,NA,2,2006
49,12,NA,2,2006
32,12,Not Too Happy,2,2006
36,12,NA,2,2006
60,16,Pretty Happy,2,2006
65,16,Very Happy,2,2006
51,16,NA,2,2006
33,14,NA,2,2006
38,10,Very Happy,2,2006
31,2,Very Happy,2,2006
48,15,Not Too Happy,2,2006
44,15,NA,2,2006
64,18,Pretty Happy,2,2006
64,16,Pretty Happy,2,2006
31,14,NA,2,2006
52,15,Very Happy,2,2006
65,18,NA,2,2006
45,15,Pretty Happy,2,2006
44,18,NA,2,2006
74,20,NA,2,2006
30,1,NA,2,2006
33,12,NA,2,2006
25,5,Not Too Happy,2,2006
25,2,Pretty Happy,2,2006
31,12,Pretty Happy,2,2006
47,19,Very Happy,2,2006
49,12,NA,2,2006
46,13,NA,2,2006
31,5,NA,2,2006
64,16,Very Happy,2,2006
53,16,NA,2,2006
NA,15,Very Happy,2,2006
51,14,Pretty Happy,2,2006
38,16,Very Happy,2,2006
61,18,NA,2,2006
59,18,Pretty Happy,2,2006
61,20,Very Happy,2,2006
49,14,NA,2,2006
72,13,NA,2,2006
39,14,Pretty Happy,2,2006
38,13,Very Happy,2,2006
31,18,Pretty Happy,2,2006
35,15,Pretty Happy,2,2006
52,16,Pretty Happy,2,2006
40,12,Pretty Happy,2,2006
55,16,Pretty Happy,2,2006
61,17,Pretty Happy,2,2006
42,19,NA,2,2006
51,16,Not Too Happy,2,2006
49,16,Pretty Happy,2,2006
34,11,NA,2,2006
18,14,NA,2,2006
33,6,NA,2,2006
37,14,Pretty Happy,2,2006
55,12,Not Too Happy,2,2006
21,12,NA,2,2006
25,9,NA,2,2006
25,9,NA,2,2006
32,6,Pretty Happy,2,2006
48,14,Very Happy,2,2006
58,15,NA,2,2006
50,13,NA,2,2006
